full_name,first_name,last_name,gender,linkedin_url,linkedin_username,linkedin_id,facebook_url,facebook_username,facebook_id,industry,job_title,job_title_role,job_title_levels,job_company_id,job_company_name,job_company_website,job_company_size,job_company_founded,job_company_industry,job_company_linkedin_url,job_company_linkedin_id,job_company_facebook_url,job_company_twitter_url,job_company_location_name,job_company_location_locality,job_company_location_metro,job_company_location_region,job_company_location_geo,job_company_location_country,job_company_location_continent,job_last_updated,job_start_date,location_name,location_locality,location_metro,location_region,location_country,location_continent,location_geo,location_last_updated,linkedin_connections,inferred_salary,inferred_years_experience,summary,phone_numbers,emails,interests,skills,location_names,regions,countries,street_addresses,experience,education,profiles,certifications,languages,version_status,work_email,job_company_location_street_address,job_company_location_postal_code,job_summary,location_street_address,location_postal_code,middle_initial,middle_name,birth_year,birth_date,twitter_url,twitter_username,github_url,github_username,mobile_phone,location_address_line_2,job_title_sub_role,job_company_location_address_line_2
dana banda,dana,banda,female,linkedin.com/in/dana-banda-1000,dana-banda-1000,100000000,,,,defense & space,laboratory sales representative,essential services broker,[],phoenix-college,phoenix college,,11-50,,defense & space,,,,,,,,,,,,,2015-08,"mclean, virginia, united states",mclean,,virginia,united states,north america,,,543.0,">250,000",22.0,Laboratory Sales Representative at Phoenix College. 15 years across defense & space.,[],[],"['cycling', 'history', 'music']","['security+', 'inspection', 'staff development', 'statistics', 'analysis', 'photography', 'firearms', 'outlook', 'software', 'computer security', 'risk management', 'pipelines', 'community development', 'marine corps', 'yahoo', 'ap style', 'army', 'sap', 'commissioning', 'continuous improvement', 'problem solving', 'program development']","['mclean, virginia, united states']",['virginia'],['united states'],[],"[{'company': {'name': 'phoenix college', 'size': '201-500', 'industry': 'medical practice', 'location': {'name': 'paducah, kentucky, united states'}}, 'location_names': ['mclean, virginia, united states'], 'end_date': None, 'start_date': '2021-05', 'title': {'name': 'laboratory sales representative', 'role': 'human_resources', 'sub_role': None, 'levels': []}, 'is_primary': True, 'summary': None}, {'company': {'name': 'chai pani, llc', 'size': '201-500', 'industry': 'medical practice', 'location': {'name': 'raleigh, north carolina, united states'}}, 'location_names': ['mclean, virginia, united states'], 'end_date': '2021-02', 'start_date': '2018-05', 'title': {'name': 'entertainment', 'role': 'engineering', 'sub_role': None, 'levels': ['vp']}, 'is_primary': False, 'summary': None}]","[{'school': {'name': 'elmhurst college', 'type': 'post-secondary institution', 'location': {'name': 'burlington, vermont, united states'}}, 'end_date': '2002', 'start_date': '2003', 'gpa': None, 'degrees': ['associates'], 'majors': ['computer science', 'political science'], 'minors': [], 'summary': None}, {'school': {'name': 'indiana university (bloomington)', 'type': 'post-secondary institution', 'location': {'name': 'fort worth, texas, united states'}}, 'end_date': '2000', 'start_date': '1998', 'gpa': None, 'degrees': ['master of business administration'], 'majors': ['computer science'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100000000', 'url': 'linkedin.com/in/dana-banda-1000', 'username': 'dana-banda-1000'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
zara baptiste,zara,baptiste,,linkedin.com/in/zara-baptiste-1001,zara-baptiste-1001,100007919,,,,political organization,battalion operations officer,sales,[],menards,menards,,1001-5000,,political organization,,,,,,,,,,,,,2023-07,"gilbert, arizona, united states",gilbert,,arizona,united states,north america,,,3171.0,"55,000-70,000",12.0,Battalion Operations Officer at Menards. 15 years across political organization.,[],[],[],"['autocad', 'risk assessment', 'active dod secret clearance', 'operations', 'editing', 'career counseling', 'courts', 'personnel management', 'social services', 'offshore drilling', 'student affairs']","['gilbert, arizona, united states']",['arizona'],['united states'],[],"[{'company': {'name': 'menards', 'size': '11-50', 'industry': 'civic & social organization', 'location': {'name': 'baltimore, maryland, united states'}}, 'location_names': ['gilbert, arizona, united states'], 'end_date': None, 'start_date': '2021-01', 'title': {'name': 'battalion operations officer', 'role': 'project manager', 'sub_role': None, 'levels': ['vp']}, 'is_primary': True, 'summary': None}]","[{'school': {'name': 'grand river technical school', 'type': 'post-secondary institution', 'location': {'name': 'charlotte, north carolina, united states'}}, 'end_date': '1992', 'start_date': '2005', 'gpa': None, 'degrees': ['master of business administration', 'associates'], 'majors': ['political science'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100007919', 'url': 'linkedin.com/in/zara-baptiste-1001', 'username': 'zara-baptiste-1001'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
yusuf bergman,yusuf,bergman,female,linkedin.com/in/yusuf-bergman-1002,yusuf-bergman-1002,100015838,,,,civil engineering,automotive,education,[],prudential-financial,prudential financial,,11-50,,civil engineering,,,,,,,,,,,,,2018-08,"jarrell, texas, united states",jarrell,,texas,united states,north america,,,3323.0,"70,000-85,000",17.0,Automotive at Prudential Financial. 16 years across civil engineering.,[],[],[],"['digital media', 'communication', 'maintenance and repair', 'banking', 'inventory management', 'training', 'private investigations', 'solidworks', 'sales management', 'international', 'analysis', 'military leadership', 'public speaking', 'program management', 'homeland security', 'customer satisfaction', 'leadership', 'project estimation', 'oilfield', 'joint military operations', 'aircraft maintenance', 'education', 'construction safety', 'oil/gas', 'command and control', 'software installation']","['jarrell, texas, united states']",['texas'],['united states'],[],"[{'company': {'name': 'prudential financial', 'size': '1001-5000', 'industry': 'luxury goods & jewelry', 'location': {'name': 'portland, oregon, united states'}}, 'location_names': ['jarrell, texas, united states'], 'end_date': None, 'start_date': '2021-01', 'title': {'name': 'automotive', 'role': 'paramedic- medical officer and supervisor', 'sub_role': None, 'levels': []}, 'is_primary': True, 'summary': None}, {'company': {'name': 'the ucan company', 'size': '201-500', 'industry': 'accounting', 'location': {'name': 'sheffield, sheffield, united kingdom'}}, 'location_names': ['jarrell, texas, united states'], 'end_date': '2021-01', 'start_date': '2018-08', 'title': {'name': 'accountant', 'role': 'real_estate', 'sub_role': None, 'levels': ['entry']}, 'is_primary': False, 'summary': None}]","[{'school': {'name': 'indiana university–purdue university indianapolis', 'type': 'post-secondary institution', 'location': {'name': 'seattle, washington, united states'}}, 'end_date': '2007', 'start_date': '2001', 'gpa': None, 'degrees': ['master of business administration', 'bachelor of science'], 'majors': ['engineering'], 'minors': [], 'summary': None}, {'school': {'name': 'academy of learning college', 'type': 'post-secondary institution', 'location': {'name': 'alexandria, virginia, united states'}}, 'end_date': '2003', 'start_date': '2012', 'gpa': None, 'degrees': ['doctorates', 'bachelor of science'], 'majors': ['political science', 'engineering'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100015838', 'url': 'linkedin.com/in/yusuf-bergman-1002', 'username': 'yusuf-bergman-1002'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
felix marek,felix,marek,female,linkedin.com/in/felix-marek-1003,felix-marek-1003,100023757,,,,finance,marketing and advertising,sales,[],p-g-security,p&g security,,1-10,,finance,,,,,,,,,,,,,2019-05,"fairview, oregon, united states",fairview,,oregon,united states,north america,,,300.0,"100,000-150,000",24.0,Marketing And Advertising at P&G Security. 18 years across finance.,[],[],['hiking'],"['html', 'interagency coordination', 'advertising', 'photography', 'editorial', 'c#', 'adult education', 'video production', 'breaking news', 'weapons training', 'humint', 'sales management', 'flights', 'coordination', 'business process', 'sap', 'social media', 'legal research']","['fairview, oregon, united states']",['oregon'],['united states'],[],"[{'company': {'name': 'p&g security', 'size': '1-10', 'industry': 'farming', 'location': {'name': 'mount airy, maryland, united states'}}, 'location_names': ['fairview, oregon, united states'], 'end_date': None, 'start_date': '2021-04', 'title': {'name': 'marketing and advertising', 'role': 'vp; relationship manager, specialized cash management', 'sub_role': None, 'levels': []}, 'is_primary': True, 'summary': None}, {'company': {'name': 'sham', 'size': '51-200', 'industry': 'military', 'location': {'name': 'denton, texas, united states'}}, 'location_names': ['fairview, oregon, united states'], 'end_date': '2021-05', 'start_date': '2018-07', 'title': {'name': 'deputy assistant secretary', 'role': 'design', 'sub_role': None, 'levels': []}, 'is_primary': False, 'summary': None}]","[{'school': {'name': 'ier | sdu', 'type': 'post-secondary institution', 'location': {'name': 'nashville, tennessee, united states'}}, 'end_date': '2001', 'start_date': '2007', 'gpa': None, 'degrees': ['masters'], 'majors': ['political science', 'computer science'], 'minors': [], 'summary': None}, {'school': {'name': 'goshen high school, 1982', 'type': 'post-secondary institution', 'location': {'name': 'brooklyn, new york, united states'}}, 'end_date': '2004', 'start_date': '2013', 'gpa': None, 'degrees': ['doctorates'], 'majors': ['computer science'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100023757', 'url': 'linkedin.com/in/felix-marek-1003', 'username': 'felix-marek-1003'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
nadia schreiber,nadia,schreiber,,linkedin.com/in/nadia-schreiber-1004,nadia-schreiber-1004,100031676,,,,online media,senior director,education,['vp'],concord,concord,,11-50,,online media,,,,,,,,,,,,,2021-05,"saint louis, missouri, united states",saint louis,,missouri,united states,north america,,,2166.0,"100,000-150,000",11.0,Senior Director at Concord. 10 years across online media.,[],[],[],"['avionics', 'personal security', 'freight', 'joint military operations', 'ap style', 'military logistics', 'salesforce.com', 'humint', 'c4isr', 'healthcare', 'tactics', 'community outreach', 'nato', 'cold calling', 'customer relationship management', 'sigint', 'field service', 'financial analysis', 'account reconciliation', 'english', 'forecasting', 'top secret']","['saint louis, missouri, united states']",['missouri'],['united states'],[],"[{'company': {'name': 'concord', 'size': '1-10', 'industry': 'education', 'location': {'name': 'rochester, new york, united states'}}, 'location_names': ['saint louis, missouri, united states'], 'end_date': None, 'start_date': '2021-02', 'title': {'name': 'senior director', 'role': 'education', 'sub_role': None, 'levels': []}, 'is_primary': True, 'summary': None}]","[{'school': {'name': 'dallas baptist university', 'type': 'post-secondary institution', 'location': {'name': 'jarrell, texas, united states'}}, 'end_date': '2002', 'start_date': '1990', 'gpa': None, 'degrees': ['bachelor of science', 'masters'], 'majors': ['nursing', 'engineering'], 'minors': [], 'summary': None}, {'school': {'name': 'jesuit high school', 'type': 'post-secondary institution', 'location': {'name': 'st. louis, missouri, united states'}}, 'end_date': '1998', 'start_date': '2007', 'gpa': None, 'degrees': ['bachelors', 'bachelor of science'], 'majors': ['business administration'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100031676', 'url': 'linkedin.com/in/nadia-schreiber-1004', 'username': 'nadia-schreiber-1004'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
kofi haddad,kofi,haddad,female,linkedin.com/in/kofi-haddad-1005,kofi-haddad-1005,100039595,,,,online media,assistant professor of practice,education,['vp'],tennessee-valley-authority,tennessee valley authority,,201-500,,online media,,,,,,,,,,,,,2016-04,"falls church, virginia, united states",falls church,,virginia,united states,north america,,,1066.0,"70,000-85,000",17.0,Assistant Professor Of Practice at Tennessee Valley Authority. 11 years across online media.,[],[],"['history', 'music', 'chess', 'cycling']","['combat', 'power generation', 'contractors', 'adult education', 'clinical research', 'business strategy', 'surveillance', 'marine corps', 'flights', 'organizational development', 'new media', 'autocad', 'technical writing', 'leadership development', 'security clearance', 'event planning', 'computer maintenance', 'event management', 'transportation planning', 'maintenance and repair', 'politics', 'inventory management', 'security management', 'management', 'comsec', 'business process improvement', 'consulting', 'system administration', 'copywriting', 'critical thinking']","['falls church, virginia, united states']",['virginia'],['united states'],[],"[{'company': {'name': 'tennessee valley authority', 'size': '11-50', 'industry': 'health, wellness and fitness', 'location': {'name': 'asheville, north carolina, united states'}}, 'location_names': ['falls church, virginia, united states'], 'end_date': None, 'start_date': '2021-09', 'title': {'name': 'assistant professor of practice', 'role': 'city letter carrier and city carrier assistant', 'sub_role': None, 'levels': []}, 'is_primary': True, 'summary': None}, {'company': {'name': 'semrock, inc.', 'size': '1001-5000', 'industry': 'financial services', 'location': {'name': 'dallas, texas, united states'}}, 'location_names': ['falls church, virginia, united states'], 'end_date': '2021-05', 'start_date': '2018-06', 'title': {'name': 'production supervisor', 'role': 'marketing', 'sub_role': None, 'levels': []}, 'is_primary': False, 'summary': None}, {'company': {'name': 'the center of drug discovery and department of pharmaceutical sciences northeastern university', 'size': '1-10', 'industry': 'accounting', 'location': {'name': 'lorton, virginia, united states'}}, 'location_names': ['falls church, virginia, united states'], 'end_date': '2018-01', 'start_date': '2015-04', 'title': {'name': 'project manager level', 'role': 'marketing', 'sub_role': None, 'levels': ['entry']}, 'is_primary': False, 'summary': None}]","[{'school': {'name': 'georgia tech scheller college of business', 'type': 'post-secondary institution', 'location': {'name': 'philadelphia, pennsylvania, united states'}}, 'end_date': '2008', 'start_date': '2013', 'gpa': None, 'degrees': ['bachelor of science', 'associates'], 'majors': ['computer science'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100039595', 'url': 'linkedin.com/in/kofi-haddad-1005', 'username': 'kofi-haddad-1005'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
lena ruiz,lena,ruiz,female,linkedin.com/in/lena-ruiz-1006,lena-ruiz-1006,100047514,,,,consumer services,eastern regional coordinator,assistant director international programs,['owner'],northrop-grumman-corporation,northrop grumman corporation,,11-50,,consumer services,,,,,,,,,,,,,2015-07,"austin, texas, united states",austin,,texas,united states,north america,,,2936.0,"70,000-85,000",16.0,Eastern Regional Coordinator at Northrop Grumman Corporation. 11 years across consumer services.,[],[],[],"['private investigations', 'operations', 'command', 'business planning', 'emergency services', 'software documentation', 'c4isr', 'firearms', 'customer retention', 'coaching', 'sales management', 'logistics management']","['austin, texas, united states']",['texas'],['united states'],[],"[{'company': {'name': 'northrop grumman corporation', 'size': '11-50', 'industry': 'luxury goods & jewelry', 'location': {'name': 'quincy, massachusetts, united states'}}, 'location_names': ['austin, texas, united states'], 'end_date': None, 'start_date': '2021-03', 'title': {'name': 'eastern regional coordinator', 'role': 'remote monitoring and management analyst', 'sub_role': None, 'levels': []}, 'is_primary': True, 'summary': None}, {'company': {'name': 'schaper benz & wise investment counsel', 'size': '11-50', 'industry': 'health', 'location': {'name': 'springfield, tennessee, united states'}}, 'location_names': ['austin, texas, united states'], 'end_date': '2021-04', 'start_date': '2018-09', 'title': {'name': 'data analyst', 'role': 'mdp operations workcenter manager', 'sub_role': None, 'levels': ['cxo']}, 'is_primary': False, 'summary': None}, {'company': {'name': 'beaumont independent sch dist', 'size': '201-500', 'industry': 'health', 'location': {'name': 'temple, texas, united states'}}, 'location_names': ['austin, texas, united states'], 'end_date': '2018-07', 'start_date': '2015-02', 'title': {'name': 'noc administrator', 'role': 'essential services broker', 'sub_role': None, 'levels': []}, 'is_primary': False, 'summary': None}, {'company': {'name': 'democratic national committee', 'size': '11-50', 'industry': 'media', 'location': {'name': 'elizabeth city, north carolina, united states'}}, 'location_names': ['austin, texas, united states'], 'end_date': '2015-06', 'start_date': '2012-01', 'title': {'name': 'independent business owner', 'role': 'city letter carrier and city carrier assistant', 'sub_role': None, 'levels': []}, 'is_primary': False, 'summary': None}]","[{'school': {'name': 'eastern kentucky university', 'type': 'post-secondary institution', 'location': {'name': 'north palm beach, florida, united states'}}, 'end_date': '1994', 'start_date': '1993', 'gpa': None, 'degrees': ['master of business administration'], 'majors': ['nursing'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100047514', 'url': 'linkedin.com/in/lena-ruiz-1006', 'username': 'lena-ruiz-1006'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
luca odonnell,luca,odonnell,,linkedin.com/in/luca-odonnell-1007,luca-odonnell-1007,100055433,,,,mechanical or industrial engineering,lean program manager,remote monitoring and management analyst,[],iqvia,iqvia,,201-500,,mechanical or industrial engineering,,,,,,,,,,,,,2012-07,"jarrell, texas, united states",jarrell,,texas,united states,north america,,,2760.0,"45,000-55,000",25.0,Lean Program Manager at Iqvia. 19 years across mechanical or industrial engineering.,[],[],"['music', 'travel', 'chess']","['electronic warfare', 'journalism', 'american', 'process improvement', 'lean manufacturing', 'data acquisition', 'recruiting', 'staff development', 'fundraising', 'facilities management', 'switches', 'change management', 'solidworks', 'critical thinking', 'customer relations', 'computer maintenance', 'windows 7', 'project planning', 'multimedia', 'advertising']","['jarrell, texas, united states']",['texas'],['united states'],[],"[{'company': {'name': 'iqvia', 'size': '201-500', 'industry': 'higher education', 'location': {'name': 'springboro, ohio, united states'}}, 'location_names': ['jarrell, texas, united states'], 'end_date': None, 'start_date': '2021-09', 'title': {'name': 'lean program manager', 'role': 'paramedic- medical officer and supervisor', 'sub_role': None, 'levels': ['owner']}, 'is_primary': True, 'summary': None}, {'company': {'name': 'prudential financial', 'size': '1001-5000', 'industry': 'hospital & health care', 'location': {'name': 'united states'}}, 'location_names': ['jarrell, texas, united states'], 'end_date': '2021-06', 'start_date': '2018-09', 'title': {'name': 'senior associate, health industries advisory', 'role': 'transportation operations manager', 'sub_role': None, 'levels': ['cxo']}, 'is_primary': False, 'summary': None}, {'company': {'name': 'nextera energy resources', 'size': '201-500', 'industry': 'aviation & aerospace', 'location': {'name': 'villanova, pennsylvania, united states'}}, 'location_names': ['jarrell, texas, united states'], 'end_date': '2018-09', 'start_date': '2015-04', 'title': {'name': 'business segment manager p and s', 'role': 'property and consumable controller', 'sub_role': None, 'levels': []}, 'is_primary': False, 'summary': None}]","[{'school': {'name': 'central michigan university', 'type': 'post-secondary institution', 'location': {'name': 'tooele, utah, united states'}}, 'end_date': '2016', 'start_date': '2002', 'gpa': None, 'degrees': ['associates'], 'majors': ['engineering', 'nursing'], 'minors': [], 'summary': None}, {'school': {'name': 'fordham university school of law', 'type': 'post-secondary institution', 'location': {'name': 'marion, texas, united states'}}, 'end_date': '1998', 'start_date': '2013', 'gpa': None, 'degrees': ['doctorates', 'associates'], 'majors': ['nursing'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100055433', 'url': 'linkedin.com/in/luca-odonnell-1007', 'username': 'luca-odonnell-1007'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
liam schreiber,liam,schreiber,female,linkedin.com/in/liam-schreiber-1008,liam-schreiber-1008,100063352,,,,design,account coordinator,paramedic- medical officer and supervisor,['partner'],new-york,new york,,1001-5000,,design,,,,,,,,,,,,,2019-09,"fredericksburg, virginia, united states",fredericksburg,,virginia,united states,north america,,,2260.0,"100,000-150,000",7.0,Account Coordinator at New York. 18 years across design.,[],[],"['history', 'music']","['defense', 'news writing', 'construction', 'mergers and acquisitions', 'entrepreneurship', 'new business development', 'customer service', 'publications', 'javascript', 'aerospace', 'negotiation', 'coordination', 'customer satisfaction', 'civil engineering', 'video production', 'healthcare', 'disaster response', 'marksmanship', 'team building', 'photography', 'wireless', 'volunteer management', 'homeland security', 'crisis communications', 'career counseling', 'materials']","['fredericksburg, virginia, united states']",['virginia'],['united states'],[],"[{'company': {'name': 'new york', 'size': '1001-5000', 'industry': 'human resources', 'location': {'name': 'fort worth, texas, united states'}}, 'location_names': ['fredericksburg, virginia, united states'], 'end_date': None, 'start_date': '2021-01', 'title': {'name': 'account coordinator', 'role': 'legal', 'sub_role': None, 'levels': []}, 'is_primary': True, 'summary': None}, {'company': {'name': 'sham', 'size': '201-500', 'industry': 'mental health care', 'location': {'name': 'nederland, texas, united states'}}, 'location_names': ['fredericksburg, virginia, united states'], 'end_date': '2021-03', 'start_date': '2018-09', 'title': {'name': 'clinical site manager ii', 'role': 'essential services broker', 'sub_role': None, 'levels': ['manager']}, 'is_primary': False, 'summary': None}, {'company': {'name': 'perenco', 'size': '51-200', 'industry': 'human resources', 'location': {'name': 'san antonio, texas, united states'}}, 'location_names': ['fredericksburg, virginia, united states'], 'end_date': '2018-05', 'start_date': '2015-09', 'title': {'name': 'f and a-18 field service representative', 'role': 'essential services broker', 'sub_role': None, 'levels': ['cxo']}, 'is_primary': False, 'summary': None}]","[{'school': {'name': 'eastern kentucky university', 'type': 'post-secondary institution', 'location': {'name': 'sheffield, sheffield, united kingdom'}}, 'end_date': '1996', 'start_date': '2015', 'gpa': None, 'degrees': ['bachelors', 'master of business administration'], 'majors': ['engineering'], 'minors': [], 'summary': None}]","[{'network': 'linkedin', 'id': '100063352', 'url': 'linkedin.com/in/liam-schreiber-1008', 'username': 'liam-schreiber-1008'}]",[],"[{'name': 'english', 'proficiency': None}]","{'status': 'updated', 'contains': [], 'previous_version': '12.0', 'current_version': '13.0'}",,,,,,,,,,,,,,,,,,
